food_code,food_name,wweia_cat_num,wweia_cat_name,energy_kcal,carb_g,fiber_g,sugar_g,fat_g,sat_fat_g,protein_g,cholesterol_mg,portion_desc,portion_weight_g,energy_kcal_per_serving,carb_g_per_serving,fiber_g_per_serving,sugar_g_per_serving,fat_g_per_serving,sat_fat_g_per_serving,protein_g_per_serving,high_carb,high_sugar,low_fiber,high_sat_fat,diabetes_flag,ada_risk_level,source
11111000,"Milk, whole",1002,"Milk, whole",61,4.63,0.0,4.81,3.2,1.86,3.27,12,1 cup,244.0,148.8,11.3,0.0,11.7,7.8,4.5,8.0,False,True,True,False,1,medium,USDA FNDDS 2021-2023
11112110,"Milk, reduced fat (2%)",1004,"Milk, reduced fat",50,4.9,0.0,4.89,1.9,1.11,3.36,8,1 cup,244.0,122.0,12.0,0.0,11.9,4.6,2.7,8.2,False,True,True,False,1,medium,USDA FNDDS 2021-2023
11112210,"Milk, low fat (1%)",1006,"Milk, lowfat",43,5.18,0.0,4.96,0.95,0.568,3.38,5,1 cup,244.0,104.9,12.6,0.0,12.1,2.3,1.4,8.2,False,True,True,False,1,medium,USDA FNDDS 2021-2023
11113000,"Milk, fat free (skim)",1008,"Milk, nonfat",34,4.92,0.0,5.05,0.08,0.049,3.43,3,1 cup,244.0,83.0,12.0,0.0,12.3,0.2,0.1,8.4,False,True,True,False,1,medium,USDA FNDDS 2021-2023
11114300,"Milk, lactose free, low fat (1%)",1006,"Milk, lowfat",43,5.18,0.0,4.96,0.95,0.568,3.38,5,1 cup,244.0,104.9,12.6,0.0,12.1,2.3,1.4,8.2,False,True,True,False,1,medium,USDA FNDDS 2021-2023
11114320,"Milk, lactose free, fat free (skim)",1008,"Milk, nonfat",34,4.92,0.0,5.05,0.08,0.049,3.43,3,1 cup,244.0,83.0,12.0,0.0,12.3,0.2,0.1,8.4,False,True,True,False,1,medium,USDA FNDDS 2021-2023
11114330,"Milk, lactose free, reduced fat (2%)",1004,"Milk, reduced fat",50,4.9,0.0,4.89,1.9,1.11,3.36,8,1 cup,244.0,122.0,12.0,0.0,11.9,4.6,2.7,8.2,False,True,True,False,1,medium,USDA FNDDS 2021-2023
11114350,"Milk, lactose free, whole",1002,"Milk, whole",61,4.63,0.0,4.81,3.2,1.86,3.27,12,1 cup,244.0,148.8,11.3,0.0,11.7,7.8,4.5,8.0,False,True,True,False,1,medium,USDA FNDDS 2021-2023
11115300,Buttermilk,1002,"Milk, whole",43,4.81,0.0,5.36,1.08,0.552,3.46,5,1 cup,244.0,104.9,11.7,0.0,13.1,2.6,1.3,8.4,False,True,True,False,1,medium,USDA FNDDS 2021-2023
11115400,Kefir,1006,"Milk, lowfat",52,7.48,0.0,6.91,0.96,0.596,3.59,5,1 cup,244.0,126.9,18.3,0.0,16.9,2.3,1.5,8.8,False,True,True,False,1,medium,USDA FNDDS 2021-2023
11116000,Goat milk,1002,"Milk, whole",69,4.45,0.0,4.45,4.14,2.667,3.56,11,1 cup,244.0,168.4,10.9,0.0,10.9,10.1,6.5,8.7,False,True,True,True,1,high,USDA FNDDS 2021-2023
