high_risk_food_code,high_risk_food_name,high_risk_category,high_risk_carb_per100g,high_risk_fiber_per100g,high_risk_portion,high_risk_portion_g,high_risk_carb_per_serving,swap_food_code,swap_food_name,swap_category,swap_carb_per100g,swap_fiber_per100g,swap_portion,swap_portion_g,swap_carb_per_serving,carb_saving_per_serving,fiber_gain_per_serving,ada_rule,swap_group,source
51000100,"Bread, NS as to major flour",Yeast breads,49.2,2.3,1 small or thin/very thin slice,24.0,11.8,75124000,"Peppers, banana, raw",Other vegetables and combinations,5.3,3.4,1 whole,45.0,2.4,9.4,1.0,ADA recommends replacing refined grains with whole grains or non-starchy vegetables,refined_grains,USDA FNDDS 2021-2023 + ADA Diabetes Plate Method Guidelines
51000100,"Bread, NS as to major flour",Yeast breads,49.2,2.3,1 small or thin/very thin slice,24.0,11.8,75330080,"Broccoli, cauliflower and carrots, cooked, no added fat",Other vegetables and combinations,5.6,3.0,1 cup,155.0,8.7,3.1,4.1,ADA recommends replacing refined grains with whole grains or non-starchy vegetables,refined_grains,USDA FNDDS 2021-2023 + ADA Diabetes Plate Method Guidelines
51000110,"Bread, NS as to major flour, toasted",Yeast breads,54.1,2.5,1 small or thin/very thin slice,22.0,11.9,75124000,"Peppers, banana, raw",Other vegetables and combinations,5.3,3.4,1 whole,45.0,2.4,9.5,1.0,ADA recommends replacing refined grains with whole grains or non-starchy vegetables,refined_grains,USDA FNDDS 2021-2023 + ADA Diabetes Plate Method Guidelines
51000110,"Bread, NS as to major flour, toasted",Yeast breads,54.1,2.5,1 small or thin/very thin slice,22.0,11.9,75330080,"Broccoli, cauliflower and carrots, cooked, no added fat",Other vegetables and combinations,5.6,3.0,1 cup,155.0,8.7,3.2,4.1,ADA recommends replacing refined grains with whole grains or non-starchy vegetables,refined_grains,USDA FNDDS 2021-2023 + ADA Diabetes Plate Method Guidelines
51000180,"Bread, made from home recipe or purchased at a bakery, NS as to major flour",Yeast breads,50.3,1.7,1 small or thin/very thin slice,33.0,16.6,75124000,"Peppers, banana, raw",Other vegetables and combinations,5.3,3.4,1 whole,45.0,2.4,14.2,1.0,ADA recommends replacing refined grains with whole grains or non-starchy vegetables,refined_grains,USDA FNDDS 2021-2023 + ADA Diabetes Plate Method Guidelines
51000180,"Bread, made from home recipe or purchased at a bakery, NS as to major flour",Yeast breads,50.3,1.7,1 small or thin/very thin slice,33.0,16.6,75330080,"Broccoli, cauliflower and carrots, cooked, no added fat",Other vegetables and combinations,5.6,3.0,1 cup,155.0,8.7,7.9,4.1,ADA recommends replacing refined grains with whole grains or non-starchy vegetables,refined_grains,USDA FNDDS 2021-2023 + ADA Diabetes Plate Method Guidelines
51000190,"Bread, made from home recipe or purchased at a bakery, toasted, NS as to major flour",Yeast breads,55.2,1.9,1 small or thin/very thin slice,30.0,16.6,75124000,"Peppers, banana, raw",Other vegetables and combinations,5.3,3.4,1 whole,45.0,2.4,14.2,1.0,ADA recommends replacing refined grains with whole grains or non-starchy vegetables,refined_grains,USDA FNDDS 2021-2023 + ADA Diabetes Plate Method Guidelines
51000190,"Bread, made from home recipe or purchased at a bakery, toasted, NS as to major flour",Yeast breads,55.2,1.9,1 small or thin/very thin slice,30.0,16.6,75330080,"Broccoli, cauliflower and carrots, cooked, no added fat",Other vegetables and combinations,5.6,3.0,1 cup,155.0,8.7,7.9,4.1,ADA recommends replacing refined grains with whole grains or non-starchy vegetables,refined_grains,USDA FNDDS 2021-2023 + ADA Diabetes Plate Method Guidelines
51000200,"Roll, NS as to major flour",Rolls and buns,50.1,1.8,Quantity not specified,43.0,21.6,75124000,"Peppers, banana, raw",Other vegetables and combinations,5.3,3.4,1 whole,45.0,2.4,19.1,0.8,ADA recommends replacing refined grains with whole grains or non-starchy vegetables,refined_grains,USDA FNDDS 2021-2023 + ADA Diabetes Plate Method Guidelines
51000200,"Roll, NS as to major flour",Rolls and buns,50.1,1.8,Quantity not specified,43.0,21.6,75330080,"Broccoli, cauliflower and carrots, cooked, no added fat",Other vegetables and combinations,5.6,3.0,1 cup,155.0,8.7,12.9,3.9,ADA recommends replacing refined grains with whole grains or non-starchy vegetables,refined_grains,USDA FNDDS 2021-2023 + ADA Diabetes Plate Method Guidelines
